Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Rolling_7d
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-01,2024,1,1,,0.1,,-5.2,,-2.5,,20.5,,0.0,,,,,,0.0,,5.0,,31.0,,36.0,,-2.5
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-02,2024,1,2,,-1.5,,-6.9,,-4.2,,22.2,,0.0,,,,,,0.0,,5.0,,,,,,-3.35
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-03,2024,1,3,,1.5,,-1.5,,0.0,,18.0,,0.0,,,,,,0.0,,5.0,,,,,,-2.2333333333333334
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-04,2024,1,4,,-0.2,,-1.5,,-0.8,,18.8,,0.0,,,,,,0.2,,5.0,,3.0,,36.0,,-1.875
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-05,2024,1,5,,-1.5,,-4.9,,-3.2,,21.2,,0.0,,,,,,16.6,,7.0,,31.0,,66.0,,-2.1399999999999997
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-06,2024,1,6,,-3.0,,-12.3,,-7.7,,25.7,,0.0,,,,,,1.1,,29.0,,32.0,,68.0,,-3.0666666666666664
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-07,2024,1,7,,-4.9,,-11.4,,-8.1,,26.1,,0.0,,,,,,0.2,,19.0,,30.0,,64.0,,-3.7857142857142856
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-08,2024,1,8,,-1.7,,-6.0,,-3.9,,21.9,,0.0,,,,,,0.0,,15.0,,31.0,,51.0,,-3.9857142857142853
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-09,2024,1,9,,-3.3,,-7.9,,-5.6,,23.6,,0.0,,,,,,0.0,,15.0,,30.0,,46.0,,-4.185714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-10,2024,1,10,,-2.4,,-8.5,,-5.5,,23.5,,0.0,,,,,,0.6,,15.0,,13.0,,52.0,,-4.971428571428571
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-11,2024,1,11,,1.9,,-2.4,,-0.3,,18.3,,0.0,,,,,,2.9,,15.0,,16.0,,67.0,,-4.8999999999999995
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-12,2024,1,12,,4.7,,-2.6,,1.0,,17.0,,0.0,,,,,,0.0,,12.0,,20.0,,32.0,,-4.3
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-13,2024,1,13,,-1.1,,-3.2,,-2.1,,20.1,,0.0,,,,,,0.0,,10.0,,,,,,-3.5
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-14,2024,1,14,,1.5,,-2.8,,-0.7,,18.7,,0.0,,,,,,1.7,,10.0,,17.0,,34.0,,-2.442857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-15,2024,1,15,,2.9,,-2.3,,0.3,,17.7,,0.0,,,,,,0.2,,10.0,,25.0,,45.0,,-1.842857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-16,2024,1,16,,-1.8,,-9.7,,-5.7,,23.7,,0.0,,,,,,0.0,,9.0,,26.0,,46.0,,-1.8571428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-17,2024,1,17,,7.1,,-5.3,,0.9,,17.1,,0.0,,,,,,16.9,,9.0,,26.0,,65.0,,-0.942857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-18,2024,1,18,,-1.6,,-6.4,,-4.0,,22.0,,0.0,,,,,,2.6,,3.0,,25.0,,67.0,,-1.4714285714285715
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-19,2024,1,19,,-3.0,,-5.6,,-4.3,,22.3,,0.0,,,,,,0.0,,3.0,,25.0,,71.0,,-2.2285714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-20,2024,1,20,,-2.3,,-5.5,,-3.9,,21.9,,0.0,,,,,,0.6,,3.0,,2.0,,32.0,,-2.4857142857142853
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-21,2024,1,21,,1.0,,-6.5,,-2.8,,20.8,,0.0,,,,,,0.0,,3.0,,3.0,,43.0,,-2.7857142857142856
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-22,2024,1,22,,-0.7,,-5.3,,-3.0,,21.0,,0.0,,,,,,0.0,,3.0,,28.0,,47.0,,-3.257142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-23,2024,1,23,,-0.4,,-14.3,,-7.4,,25.4,,0.0,,,,,,3.2,,5.0,,31.0,,62.0,,-3.5
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-24,2024,1,24,,-5.4,,-15.5,,-10.4,,28.4,,0.0,,,,,,0.0,,3.0,,28.0,,67.0,,-5.114285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-25,2024,1,25,,0.5,,-7.0,,-3.3,,21.3,,0.0,,,,,,2.4,,3.0,,24.0,,60.0,,-5.014285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-26,2024,1,26,,-4.7,,-8.4,,-6.5,,24.5,,0.0,,,,,,0.0,,6.0,,1.0,,36.0,,-5.328571428571428
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-27,2024,1,27,,-0.4,,-8.9,,-4.7,,22.7,,0.0,,,,,,0.0,,5.0,,,,,,-5.442857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-28,2024,1,28,,-0.4,,-6.1,,-3.3,,21.3,,0.0,,,,,,0.0,,6.0,,28.0,,38.0,,-5.514285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-29,2024,1,29,,-1.5,,-6.6,,-4.0,,22.0,,0.0,,,,,,12.8,,6.0,,1.0,,62.0,,-5.6571428571428575
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-30,2024,1,30,,-5.1,,-7.5,,-6.3,,24.3,,0.0,,,,,,0.0,,13.0,,1.0,,58.0,,-5.5
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-31,2024,1,31,,-4.6,,-12.0,,-8.3,,26.3,,0.0,,,,,,0.2,,9.0,,36.0,,33.0,,-5.2
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-01,2024,2,1,,-1.3,,-9.9,,-5.6,,23.6,,0.0,,,,,,0.0,,9.0,,28.0,,37.0,,-5.528571428571429
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-02,2024,2,2,,-0.7,,-3.9,,-2.3,,20.3,,0.0,,,,,,0.0,,9.0,,,,,,-4.928571428571429
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-03,2024,2,3,,-1.1,,-2.9,,-2.0,,20.0,,0.0,,,,,,0.0,,8.0,,3.0,,38.0,,-4.542857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-04,2024,2,4,,1.4,,-1.1,,0.1,,17.9,,0.0,,,,,,30.9,,10.0,,4.0,,52.0,,-4.057142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-05,2024,2,5,,1.8,,0.5,,1.2,,16.8,,0.0,,,,,,5.2,,9.0,,3.0,,47.0,,-3.314285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-06,2024,2,6,,1.5,,-1.4,,0.0,,18.0,,0.0,,,,,,18.7,,5.0,,1.0,,82.0,,-2.414285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-08,2024,2,8,,-0.5,,-2.6,,-1.5,,19.5,,0.0,,,,,,0.0,,6.0,,2.0,,38.0,,-1.4428571428571428
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-09,2024,2,9,,-0.1,,-4.3,,-2.2,,20.2,,0.0,,,,,,0.0,,6.0,,4.0,,32.0,,-0.9571428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-10,2024,2,10,,-0.7,,-4.8,,-2.8,,20.8,,0.0,,,,,,0.0,,6.0,,,,,,-1.0285714285714287
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-11,2024,2,11,,4.7,,-5.8,,-0.5,,18.5,,0.0,,,,,,0.0,,6.0,,,,,,-0.8142857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-12,2024,2,12,,2.1,,-0.8,,0.7,,17.3,,0.0,,,,,,1.7,,7.0,,,,,,-0.7285714285714285
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-13,2024,2,13,,0.4,,-2.0,,-0.8,,18.8,,0.0,,,,,,0.0,,5.0,,28.0,,34.0,,-1.0142857142857142
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-14,2024,2,14,,0.2,,-2.3,,-1.1,,19.1,,0.0,,,,,,24.6,,20.0,,1.0,,72.0,,-1.1714285714285713
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-15,2024,2,15,,0.2,,0.0,,0.1,,17.9,,0.0,,,,,,23.2,,23.0,,33.0,,66.0,,-0.942857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-16,2024,2,16,,0.1,,-3.5,,-1.7,,19.7,,0.0,,,,,,0.9,,31.0,,29.0,,58.0,,-0.8714285714285713
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-17,2024,2,17,,-2.3,,-5.9,,-4.1,,22.1,,0.0,,,,,,0.0,,30.0,,28.0,,54.0,,-1.0571428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-18,2024,2,18,,-2.3,,-6.7,,-4.5,,22.5,,0.0,,,,,,16.1,,40.0,,26.0,,66.0,,-1.6285714285714283
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-19,2024,2,19,,-2.5,,-8.3,,-5.4,,23.4,,0.0,,,,,,4.7,,38.0,,24.0,,49.0,,-2.5
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-20,2024,2,20,,-4.3,,-9.5,,-6.9,,24.9,,0.0,,,,,,0.0,,44.0,,26.0,,58.0,,-3.371428571428571
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-21,2024,2,21,,-6.1,,-14.1,,-10.1,,28.1,,0.0,,,,,,0.2,,33.0,,27.0,,52.0,,-4.6571428571428575
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-22,2024,2,22,,0.0,,-12.9,,-6.5,,24.5,,0.0,,,,,,4.2,,30.0,,14.0,,31.0,,-5.6000000000000005
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-23,2024,2,23,,1.3,,-1.8,,-0.3,,18.3,,0.0,,,,,,15.9,,32.0,,,,,,-5.3999999999999995
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-24,2024,2,24,,5.5,,-2.8,,1.3,,16.7,,0.0,,,,,,1.9,,29.0,,19.0,,63.0,,-4.628571428571428
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-25,2024,2,25,,6.7,,-7.0,,-0.1,,18.1,,0.0,,,,,,1.6,,21.0,,26.0,,46.0,,-4.000000000000001
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-26,2024,2,26,,-3.3,,-7.9,,-5.6,,23.6,,0.0,,,,,,8.8,,20.0,,,,,,-4.0285714285714285
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-27,2024,2,27,,2.5,,-5.4,,-1.5,,19.5,,0.0,,,,,,0.5,,30.0,,25.0,,41.0,,-3.257142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-28,2024,2,28,,8.0,,-2.8,,2.6,,15.4,,0.0,,,,,,0.0,,26.0,,23.0,,41.0,,-1.4428571428571428
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-02-29,2024,2,29,,7.6,,-0.9,,3.3,,14.7,,0.0,,,,,,10.3,,16.0,,25.0,,45.0,,-0.04285714285714277
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-01,2024,3,1,,-1.0,,-9.4,,-5.2,,23.2,,0.0,,,,,,6.7,,9.0,,26.0,,61.0,,-0.7428571428571428
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-02,2024,3,2,,-1.5,,-8.9,,-5.2,,23.2,,0.0,,,,,,0.7,,13.0,,27.0,,51.0,,-1.6714285714285713
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-03,2024,3,3,,5.5,,-1.5,,2.0,,16.0,,0.0,,,,,,8.9,,14.0,,25.0,,55.0,,-1.3714285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-04,2024,3,4,,3.4,,-7.9,,-2.2,,20.2,,0.0,,,,,,2.7,,5.0,,35.0,,51.0,,-0.8857142857142858
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-05,2024,3,5,,4.1,,-9.6,,-2.7,,20.7,,0.0,,,,,,0.0,,4.0,,27.0,,41.0,,-1.0571428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-06,2024,3,6,,5.7,,-0.6,,2.6,,15.4,,0.0,,,,,,5.8,,4.0,,22.0,,37.0,,-1.0571428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-07,2024,3,7,,2.7,,-3.6,,-0.5,,18.5,,0.0,,,,,,14.4,,,,6.0,,46.0,,-1.6
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-08,2024,3,8,,-1.2,,-3.4,,-2.3,,20.3,,0.0,,,,,,38.3,,13.0,,3.0,,64.0,,-1.1857142857142855
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-09,2024,3,9,,-0.7,,-1.8,,-1.3,,19.3,,0.0,,,,,,2.1,,43.0,,2.0,,65.0,,-0.6285714285714284
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-10,2024,3,10,,-0.4,,-3.4,,-1.9,,19.9,,0.0,,,,,,0.0,,29.0,,2.0,,35.0,,-1.1857142857142855
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-11,2024,3,11,,2.6,,-2.1,,0.2,,17.8,,0.0,,,,,,27.6,,28.0,,10.0,,69.0,,-0.8428571428571426
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-12,2024,3,12,,7.4,,-2.3,,2.6,,15.4,,0.0,,,,,,8.4,,15.0,,10.0,,59.0,,-0.08571428571428553
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-13,2024,3,13,,5.4,,-1.6,,1.9,,16.1,,0.0,,,,,,2.8,,8.0,,,,,,-0.18571428571428555
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-14,2024,3,14,,1.7,,-2.0,,-0.2,,18.2,,0.0,,,,,,0.4,,3.0,,36.0,,45.0,,-0.1428571428571427
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-15,2024,3,15,,1.2,,-2.3,,-0.5,,18.5,,0.0,,,,,,0.0,,,,31.0,,31.0,,0.11428571428571442
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-16,2024,3,16,,1.8,,-3.6,,-0.9,,18.9,,0.0,,,,,,0.2,,,,,,,,0.17142857142857157
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-17,2024,3,17,,3.4,,-5.3,,-0.9,,18.9,,0.0,,,,,,0.0,,1.0,,,,,,0.31428571428571445
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-18,2024,3,18,,2.0,,-5.8,,-1.9,,19.9,,0.0,,,,,,2.1,,,,13.0,,57.0,,0.014285714285714393
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-19,2024,3,19,,4.2,,-0.3,,2.0,,16.0,,0.0,,,,,,0.5,,6.0,,25.0,,45.0,,-0.0714285714285713
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-20,2024,3,20,,3.9,,-2.3,,0.8,,17.2,,0.0,,,,,,0.0,,2.0,,25.0,,44.0,,-0.22857142857142848
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-21,2024,3,21,,4.4,,-5.4,,-0.5,,18.5,,0.0,,,,,,15.5,,1.0,,15.0,,42.0,,-0.27142857142857135
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-22,2024,3,22,,2.4,,-1.7,,0.4,,17.6,,0.0,,,,,,0.4,,,,21.0,,56.0,,-0.14285714285714277
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-23,2024,3,23,,0.8,,-2.3,,-0.8,,18.8,,0.0,,,,,,0.2,,1.0,,26.0,,62.0,,-0.1285714285714285
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-24,2024,3,24,,8.1,,-1.7,,3.2,,14.8,,0.0,,,,,,0.0,,,,18.0,,56.0,,0.45714285714285724
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-25,2024,3,25,,0.6,,-8.2,,-3.8,,21.8,,0.0,,,,,,0.0,,,,30.0,,35.0,,0.1857142857142858
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-26,2024,3,26,,3.5,,-8.3,,-2.4,,20.4,,0.0,,,,,,0.0,,,,,,,,-0.4428571428571427
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-27,2024,3,27,,3.5,,-6.1,,-1.3,,19.3,,0.0,,,,,,0.0,,,,,,,,-0.7428571428571428
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-29,2024,3,29,,14.6,,6.2,,10.4,,7.6,,0.0,,,,,,0.3,,,,23.0,,33.0,,0.8142857142857144
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-30,2024,3,30,,9.2,,2.0,,5.6,,12.4,,0.0,,,,,,8.8,,,,17.0,,31.0,,1.5571428571428574
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-03-31,2024,3,31,,5.4,,0.4,,2.9,,15.1,,0.0,,,,,,0.0,,,,,,,,2.085714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-01,2024,4,1,,3.6,,0.0,,1.8,,16.2,,0.0,,,,,,0.6,,,,,,,,1.885714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-02,2024,4,2,,2.8,,-0.1,,1.4,,16.6,,0.0,,,,,,2.1,,,,35.0,,56.0,,2.6285714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-03,2024,4,3,,1.5,,-0.5,,0.5,,17.5,,0.0,,,,,,7.3,,,,1.0,,61.0,,3.042857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-04,2024,4,4,,3.1,,0.0,,1.6,,16.4,,0.0,,,,,,0.7,,,,36.0,,51.0,,3.457142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-05,2024,4,5,,0.1,,-2.1,,-1.0,,19.0,,0.0,,,,,,0.4,,,,4.0,,36.0,,1.8285714285714287
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-06,2024,4,6,,3.4,,-1.5,,1.0,,17.0,,0.0,,,,,,0.2,,,,5.0,,37.0,,1.1714285714285715
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-07,2024,4,7,,3.4,,-0.5,,1.4,,16.6,,0.0,,,,,,1.2,,,,5.0,,45.0,,0.9571428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-08,2024,4,8,,-0.3,,-1.7,,-1.0,,19.0,,0.0,,,,,,3.0,,5.0,,3.0,,50.0,,0.5571428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-09,2024,4,9,,-0.6,,-1.7,,-1.2,,19.2,,0.0,,,,,,3.2,,4.0,,35.0,,54.0,,0.1857142857142859
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-10,2024,4,10,,0.4,,-2.8,,-1.2,,19.2,,0.0,,,,,,0.9,,4.0,,32.0,,45.0,,-0.057142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-11,2024,4,11,,6.8,,-1.4,,2.7,,15.3,,0.0,,,,,,0.0,,4.0,,35.0,,31.0,,0.10000000000000016
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-12,2024,4,12,,8.4,,-0.8,,3.8,,14.2,,0.0,,,,,,0.0,,,,23.0,,44.0,,0.7857142857142858
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-13,2024,4,13,,16.3,,7.5,,11.9,,6.1,,0.0,,,,,,0.3,,,,23.0,,49.0,,2.342857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-14,2024,4,14,,12.9,,6.5,,9.7,,8.3,,0.0,,,,,,5.9,,,,17.0,,54.0,,3.5285714285714285
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-15,2024,4,15,,12.6,,5.2,,8.9,,9.1,,0.0,,,,,,0.8,,,,23.0,,45.0,,4.942857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-16,2024,4,16,,12.8,,5.9,,9.3,,8.7,,0.0,,,,,,6.5,,,,21.0,,33.0,,6.442857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-17,2024,4,17,,10.8,,1.5,,6.1,,11.9,,0.0,,,,,,4.5,,,,33.0,,34.0,,7.485714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-18,2024,4,18,,2.4,,-0.4,,1.0,,17.0,,0.0,,,,,,17.0,,,,34.0,,62.0,,7.242857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-19,2024,4,19,,2.5,,-1.8,,0.4,,17.6,,0.0,,,,,,6.6,,,,1.0,,66.0,,6.757142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-20,2024,4,20,,5.7,,-2.7,,1.5,,16.5,,0.0,,,,,,0.0,,,,19.0,,34.0,,5.271428571428571
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-21,2024,4,21,,7.1,,-0.6,,3.2,,14.8,,0.0,,,,,,3.1,,,,14.0,,44.0,,4.342857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-22,2024,4,22,,13.3,,0.5,,6.9,,11.1,,0.0,,,,,,0.2,,,,23.0,,38.0,,4.057142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-23,2024,4,23,,8.3,,-1.9,,3.2,,14.8,,0.0,,,,,,0.0,,,,28.0,,48.0,,3.185714285714286
