Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Rolling_7d
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-24,2024,4,24,,10.6,,0.6,,5.6,,12.4,,0.0,,,,,,7.9,,,,16.0,,60.0,,3.1142857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-25,2024,4,25,,12.4,,-1.1,,5.6,,12.4,,0.0,,,,,,0.2,,,,24.0,,52.0,,3.7714285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-26,2024,4,26,,6.5,,-2.0,,2.3,,15.7,,0.0,,,,,,0.0,,,,21.0,,33.0,,4.042857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-27,2024,4,27,,3.5,,-1.2,,1.2,,16.8,,0.0,,,,,,0.0,,,,2.0,,45.0,,4.0
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-28,2024,4,28,,4.3,,-0.4,,2.0,,16.0,,0.0,,,,,,9.5,,,,3.0,,48.0,,3.8285714285714283
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-04-29,2024,4,29,,8.9,,4.3,,6.6,,11.4,,0.0,,,,,,7.7,,,,11.0,,40.0,,3.7857142857142856
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-01,2024,5,1,,10.4,,3.1,,6.8,,11.2,,0.0,,,,,,0.3,,,,,,,,4.3
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-02,2024,5,2,,6.2,,2.4,,4.3,,13.7,,0.0,,,,,,4.3,,,,33.0,,44.0,,4.114285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-03,2024,5,3,,6.2,,2.8,,4.5,,13.5,,0.0,,,,,,9.6,,,,4.0,,35.0,,3.957142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-04,2024,5,4,,4.4,,1.2,,2.8,,15.2,,0.0,,,,,,0.0,,,,36.0,,34.0,,4.0285714285714285
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-05,2024,5,5,,3.7,,-2.0,,0.8,,17.2,,0.0,,,,,,0.0,,,,1.0,,35.0,,3.9714285714285715
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-06,2024,5,6,,16.6,,-1.6,,7.5,,10.5,,0.0,,,,,,0.2,,,,23.0,,34.0,,4.757142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-07,2024,5,7,,10.3,,3.0,,6.7,,11.3,,0.0,,,,,,1.1,,,,,,,,4.771428571428571
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-08,2024,5,8,,7.3,,2.6,,4.9,,13.1,,0.0,,,,,,1.5,,,,35.0,,33.0,,4.5
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-09,2024,5,9,,11.1,,1.7,,6.4,,11.6,,0.0,,,,,,0.0,,,,,,,,4.8
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-10,2024,5,10,,6.0,,0.2,,3.1,,14.9,,0.0,,,,,,3.8,,,,4.0,,35.0,,4.6000000000000005
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-11,2024,5,11,,3.8,,0.0,,1.9,,16.1,,0.0,,,,,,0.5,,,,,,,,4.4714285714285715
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-12,2024,5,12,,10.5,,1.3,,5.9,,12.1,,0.0,,,,,,11.7,,,,10.0,,49.0,,5.2
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-13,2024,5,13,,16.5,,4.0,,10.3,,7.7,,0.0,,,,,,5.1,,,,22.0,,33.0,,5.6000000000000005
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-14,2024,5,14,,5.9,,3.2,,4.6,,13.4,,0.0,,,,,,6.4,,,,6.0,,33.0,,5.299999999999999
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-15,2024,5,15,,12.7,,5.1,,8.9,,9.1,,0.0,,,,,,2.2,,,,,,,,5.871428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-16,2024,5,16,,13.9,,4.5,,9.2,,8.8,,0.0,,,,,,0.0,,,,,,,,6.271428571428571
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-17,2024,5,17,,10.0,,0.8,,5.4,,12.6,,0.0,,,,,,0.0,,,,,,,,6.6000000000000005
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-18,2024,5,18,,8.5,,0.6,,4.6,,13.4,,0.0,,,,,,0.0,,,,,,,,6.985714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-19,2024,5,19,,6.4,,1.8,,4.1,,13.9,,0.0,,,,,,0.0,,,,,,,,6.728571428571429
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-20,2024,5,20,,11.6,,2.7,,7.2,,10.8,,0.0,,,,,,0.0,,,,,,,,6.285714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-21,2024,5,21,,19.2,,6.8,,13.0,,5.0,,0.0,,,,,,0.0,,,,19.0,,31.0,,7.485714285714287
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-22,2024,5,22,,14.5,,3.3,,8.9,,9.1,,0.0,,,,,,0.0,,,,34.0,,34.0,,7.485714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-23,2024,5,23,,8.8,,2.6,,5.7,,12.3,,0.0,,,,,,0.0,,,,35.0,,33.0,,6.985714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-24,2024,5,24,,10.9,,2.6,,6.7,,11.3,,0.0,,,,,,6.4,,,,14.0,,39.0,,7.171428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-25,2024,5,25,,18.2,,7.1,,12.7,,5.3,,0.0,,,,,,0.2,,,,29.0,,32.0,,8.328571428571427
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-26,2024,5,26,,7.2,,2.2,,4.7,,13.3,,0.0,,,,,,0.0,,,,29.0,,46.0,,8.414285714285715
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-27,2024,5,27,,9.0,,-2.1,,3.5,,14.5,,0.0,,,,,,0.0,,,,31.0,,37.0,,7.885714285714285
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-28,2024,5,28,,16.2,,-2.3,,7.0,,11.0,,0.0,,,,,,0.0,,,,18.0,,35.0,,7.028571428571429
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-29,2024,5,29,,11.5,,5.3,,8.4,,9.6,,0.0,,,,,,4.4,,,,18.0,,49.0,,6.957142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-30,2024,5,30,,24.3,,11.1,,17.7,,0.3,,0.0,,,,,,0.0,,,,27.0,,36.0,,8.671428571428573
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-05-31,2024,5,31,,17.1,,6.3,,11.7,,6.3,,0.0,,,,,,2.5,,,,,,,,9.385714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-01,2024,6,1,,11.2,,5.8,,8.5,,9.5,,0.0,,,,,,22.8,,,,13.0,,32.0,,8.785714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-02,2024,6,2,,11.3,,8.3,,9.8,,8.2,,0.0,,,,,,20.5,,,,10.0,,50.0,,9.514285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-03,2024,6,3,,11.9,,7.3,,9.6,,8.4,,0.0,,,,,,6.0,,,,10.0,,34.0,,10.385714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-04,2024,6,4,,10.1,,7.0,,8.5,,9.5,,0.0,,,,,,25.4,,,,9.0,,39.0,,10.6
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-05,2024,6,5,,10.7,,7.0,,8.8,,9.2,,0.0,,,,,,6.1,,,,14.0,,40.0,,10.657142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-06,2024,6,6,,13.4,,7.4,,10.4,,7.6,,0.0,,,,,,2.2,,,,16.0,,32.0,,9.614285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-07,2024,6,7,,17.3,,7.6,,12.5,,5.5,,0.0,,,,,,4.2,,,,,,,,9.728571428571428
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-08,2024,6,8,,16.8,,7.3,,12.0,,6.0,,0.0,,,,,,3.0,,,,34.0,,36.0,,10.228571428571428
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-09,2024,6,9,,17.5,,6.5,,12.0,,6.0,,0.0,,,,,,0.0,,,,25.0,,39.0,,10.542857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-11,2024,6,11,,22.1,,8.6,,15.3,,2.7,,0.0,,,,,,0.0,,,,23.0,,32.0,,11.357142857142858
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-12,2024,6,12,,23.0,,11.2,,17.1,,0.9,,0.0,,,,,,6.8,,,,15.0,,37.0,,12.585714285714287
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-13,2024,6,13,,18.8,,8.8,,13.8,,4.2,,0.0,,,,,,0.5,,,,23.0,,54.0,,13.299999999999999
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-14,2024,6,14,,23.5,,8.7,,16.1,,1.9,,0.0,,,,,,0.0,,,,26.0,,46.0,,14.114285714285716
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-15,2024,6,15,,21.6,,12.1,,16.8,,1.2,,0.0,,,,,,20.2,,,,22.0,,41.0,,14.72857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-16,2024,6,16,,18.9,,7.0,,13.0,,5.0,,0.0,,,,,,3.0,,,,4.0,,38.0,,14.871428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-17,2024,6,17,,18.6,,6.4,,12.5,,5.5,,0.0,,,,,,0.0,,,,,,,,14.942857142857145
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-18,2024,6,18,,22.4,,13.2,,17.8,,0.2,,0.0,,,,,,0.0,,,,23.0,,50.0,,15.3
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-19,2024,6,19,,23.1,,12.7,,17.9,,0.1,,0.0,,,,,,0.0,,,,29.0,,37.0,,15.414285714285715
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-20,2024,6,20,,31.3,,17.5,,24.4,,0.0,,6.4,,,,,,0.0,,,,24.0,,51.0,,16.928571428571427
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-21,2024,6,21,,22.4,,11.1,,16.7,,1.3,,0.0,,,,,,0.0,,,,,,,,17.014285714285712
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-22,2024,6,22,,22.7,,11.0,,16.8,,1.2,,0.0,,,,,,0.0,,,,25.0,,36.0,,17.014285714285712
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-23,2024,6,23,,24.8,,12.4,,18.6,,0.0,,0.6,,,,,,0.0,,,,24.0,,43.0,,17.814285714285713
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-24,2024,6,24,,17.6,,10.7,,14.1,,3.9,,0.0,,,,,,10.2,,,,25.0,,52.0,,18.04285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-25,2024,6,25,,13.9,,9.2,,11.5,,6.5,,0.0,,,,,,36.3,,,,,,,,17.142857142857142
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-26,2024,6,26,,19.3,,9.9,,14.6,,3.4,,0.0,,,,,,0.2,,,,,,,,16.67142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-27,2024,6,27,,24.1,,12.5,,18.3,,0.0,,0.3,,,,,,1.3,,,,24.0,,63.0,,15.8
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-28,2024,6,28,,19.6,,9.1,,14.4,,3.6,,0.0,,,,,,19.5,,,,18.0,,48.0,,15.471428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-29,2024,6,29,,15.6,,8.7,,12.1,,5.9,,0.0,,,,,,0.0,,,,35.0,,32.0,,14.8
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-06-30,2024,6,30,,18.2,,9.3,,13.7,,4.3,,0.0,,,,,,5.2,,,,21.0,,43.0,,14.099999999999998
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-01,2024,7,1,,20.2,,15.7,,17.9,,0.1,,0.0,,,,,,2.5,,,,22.0,,45.0,,14.642857142857142
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-02,2024,7,2,,17.5,,11.4,,14.5,,3.5,,0.0,,,,,,41.4,,,,4.0,,43.0,,15.071428571428571
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-03,2024,7,3,,16.1,,8.0,,12.1,,5.9,,0.0,,,,,,0.0,,,,4.0,,38.0,,14.714285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-04,2024,7,4,,19.5,,7.3,,13.4,,4.6,,0.0,,,,,,0.0,,,,,,,,14.014285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-05,2024,7,5,,24.7,,13.1,,18.9,,0.0,,0.9,,,,,,0.2,,,,25.0,,33.0,,14.657142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-06,2024,7,6,,23.8,,14.3,,19.0,,0.0,,1.0,,,,,,0.0,,,,24.0,,40.0,,15.642857142857142
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-07,2024,7,7,,19.5,,14.8,,17.2,,0.8,,0.0,,,,,,5.6,,,,24.0,,35.0,,16.142857142857142
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-08,2024,7,8,,27.6,,14.7,,21.2,,0.0,,3.2,,,,,,0.0,,,,,,,,16.614285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-09,2024,7,9,,27.2,,14.6,,20.9,,0.0,,2.9,,,,,,4.5,,,,21.0,,33.0,,17.52857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-10,2024,7,10,,25.6,,16.8,,21.2,,0.0,,3.2,,,,,,2.5,,,,24.0,,41.0,,18.82857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-11,2024,7,11,,22.3,,13.9,,18.1,,0.0,,0.1,,,,,,0.0,,,,28.0,,33.0,,19.5
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-12,2024,7,12,,17.6,,13.0,,15.3,,2.7,,0.0,,,,,,0.0,,,,,,,,18.985714285714284
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-13,2024,7,13,,27.6,,16.4,,22.0,,0.0,,4.0,,,,,,0.0,,,,26.0,,37.0,,19.41428571428571
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-14,2024,7,14,,17.3,,11.6,,14.5,,3.5,,0.0,,,,,,0.0,,,,11.0,,36.0,,19.02857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-15,2024,7,15,,23.3,,12.2,,17.7,,0.3,,0.0,,,,,,0.0,,,,,,,,18.52857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-16,2024,7,16,,27.5,,14.5,,21.0,,0.0,,3.0,,,,,,1.5,,,,25.0,,39.0,,18.54285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-17,2024,7,17,,22.7,,18.0,,20.3,,0.0,,2.3,,,,,,0.2,,,,24.0,,49.0,,18.414285714285715
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-18,2024,7,18,,28.9,,17.9,,23.4,,0.0,,5.4,,,,,,0.0,,,,23.0,,39.0,,19.17142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-19,2024,7,19,,22.8,,17.1,,20.0,,0.0,,2.0,,,,,,0.3,,,,22.0,,45.0,,19.842857142857145
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-20,2024,7,20,,26.0,,14.1,,20.1,,0.0,,2.1,,,,,,0.0,,,,,,,,19.571428571428573
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-21,2024,7,21,,26.7,,13.3,,20.0,,0.0,,2.0,,,,,,0.0,,,,22.0,,34.0,,20.357142857142858
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-22,2024,7,22,,23.3,,14.6,,18.9,,0.0,,0.9,,,,,,0.0,,,,29.0,,45.0,,20.52857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-23,2024,7,23,,23.4,,13.7,,18.6,,0.0,,0.6,,,,,,0.0,,,,24.0,,46.0,,20.185714285714287
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-24,2024,7,24,,23.8,,10.7,,17.2,,0.8,,0.0,,,,,,0.0,,,,,,,,19.74285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-25,2024,7,25,,24.0,,10.5,,17.3,,0.7,,0.0,,,,,,0.2,,,,,,,,18.87142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-26,2024,7,26,,18.1,,12.1,,15.1,,2.9,,0.0,,,,,,2.1,,,,,,,,18.17142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-27,2024,7,27,,17.5,,10.9,,14.2,,3.8,,0.0,,,,,,8.4,,,,,,,,17.32857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-28,2024,7,28,,24.1,,10.3,,17.2,,0.8,,0.0,,,,,,0.0,,,,29.0,,46.0,,16.928571428571427
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-07-29,2024,7,29,,28.8,,19.2,,24.0,,0.0,,6.0,,,,,,0.0,,,,24.0,,50.0,,17.657142857142855
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-01,2024,8,1,,29.0,,19.0,,24.0,,0.0,,6.0,,,,,,0.0,,,,25.0,,39.0,,18.428571428571427
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-02,2024,8,2,,24.7,,11.7,,18.2,,0.0,,0.2,,,,,,1.3,,,,24.0,,45.0,,18.571428571428573
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-03,2024,8,3,,26.0,,10.8,,18.4,,0.0,,0.4,,,,,,0.0,,,,28.0,,34.0,,18.728571428571428
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-04,2024,8,4,,23.1,,14.5,,18.8,,0.0,,0.8,,,,,,4.1,,,,25.0,,32.0,,19.25714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-05,2024,8,5,,23.9,,19.7,,21.8,,0.0,,3.8,,,,,,0.0,,,,25.0,,46.0,,20.342857142857145
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-06,2024,8,6,,22.5,,15.4,,19.0,,0.0,,1.0,,,,,,0.4,,,,21.0,,48.0,,20.599999999999998
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-07,2024,8,7,,21.7,,14.4,,18.1,,0.0,,0.1,,,,,,0.0,,,,22.0,,37.0,,19.75714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-08,2024,8,8,,22.9,,14.0,,18.4,,0.0,,0.4,,,,,,0.0,,,,26.0,,40.0,,18.957142857142856
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-09,2024,8,9,,23.7,,13.7,,18.7,,0.0,,0.7,,,,,,0.0,,,,29.0,,33.0,,19.02857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-10,2024,8,10,,22.3,,16.0,,19.1,,0.0,,1.1,,,,,,2.3,,,,23.0,,55.0,,19.12857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-11,2024,8,11,,23.4,,16.1,,19.8,,0.0,,1.8,,,,,,8.6,,,,24.0,,38.0,,19.271428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-12,2024,8,12,,25.1,,16.7,,20.9,,0.0,,2.9,,,,,,0.0,,,,22.0,,44.0,,19.142857142857142
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-13,2024,8,13,,23.2,,11.2,,17.2,,0.8,,0.0,,,,,,6.0,,,,6.0,,38.0,,18.885714285714283
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-15,2024,8,15,,19.7,,5.0,,12.3,,5.7,,0.0,,,,,,0.0,,,,,,,,18.057142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-16,2024,8,16,,24.3,,9.2,,16.8,,1.2,,0.0,,,,,,0.0,,,,,,,,17.82857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-17,2024,8,17,,23.5,,13.3,,18.4,,0.0,,0.4,,,,,,0.0,,,,,,,,17.785714285714285
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-18,2024,8,18,,26.7,,14.4,,20.6,,0.0,,2.6,,,,,,0.0,,,,28.0,,42.0,,18.0
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-19,2024,8,19,,21.9,,14.2,,18.1,,0.0,,0.1,,,,,,52.3,,,,11.0,,44.0,,17.75714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-20,2024,8,20,,27.1,,18.2,,22.7,,0.0,,4.7,,,,,,0.0,,,,24.0,,43.0,,18.014285714285712
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-21,2024,8,21,,24.3,,13.5,,18.9,,0.0,,0.9,,,,,,1.1,,,,24.0,,41.0,,18.25714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-22,2024,8,22,,16.4,,10.0,,13.2,,4.8,,0.0,,,,,,0.2,,,,,,,,18.385714285714283
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-23,2024,8,23,,17.6,,10.1,,13.8,,4.2,,0.0,,,,,,2.9,,,,13.0,,35.0,,17.95714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-24,2024,8,24,,22.2,,15.2,,18.7,,0.0,,0.7,,,,,,0.0,,,,25.0,,37.0,,18.0
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-25,2024,8,25,,25.7,,14.9,,20.3,,0.0,,2.3,,,,,,0.0,,,,31.0,,32.0,,17.95714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-08-26,2024,8,26,,27.0,,14.6,,20.8,,0.0,,2.8,,,,,,0.0,,,,,,,,18.342857142857138
